size,lo,hi,algorithm,run1_ms,run2_ms,run3_ms,mean_ms,sorted
10000,-10,10,Shell,0.944,0.959,0.893,0.932,1
10000,-10,10,Hibbard,0.811,0.754,0.749,0.771,1
10000,-10,10,Knuth,0.761,0.744,0.763,0.756,1
10000,-10,10,Sedgewick,0.683,0.678,0.824,0.728,1
10000,-1000,1000,Shell,1.656,1.628,1.461,1.582,1
10000,-1000,1000,Hibbard,1.520,1.458,1.368,1.449,1
10000,-1000,1000,Knuth,1.461,1.420,1.245,1.376,1
10000,-1000,1000,Sedgewick,1.232,1.161,1.278,1.224,1
10000,-100000,100000,Shell,1.584,1.631,1.816,1.677,1
10000,-100000,100000,Hibbard,1.691,1.662,1.686,1.680,1
10000,-100000,100000,Knuth,1.408,1.411,1.364,1.394,1
10000,-100000,100000,Sedgewick,1.501,1.341,1.297,1.380,1
100000,-10,10,Shell,11.046,10.397,10.119,10.520,1
100000,-10,10,Hibbard,8.969,10.176,8.890,9.345,1
100000,-10,10,Knuth,8.014,8.576,8.575,8.388,1
100000,-10,10,Sedgewick,7.482,7.810,7.676,7.656,1
100000,-1000,1000,Shell,20.563,19.368,18.799,19.577,1
100000,-1000,1000,Hibbard,19.093,18.574,18.152,18.606,1
100000,-1000,1000,Knuth,18.083,17.496,17.229,17.603,1
100000,-1000,1000,Sedgewick,13.445,13.535,13.215,13.398,1
100000,-100000,100000,Shell,22.183,22.242,21.460,21.962,1
100000,-100000,100000,Hibbard,22.532,21.978,22.196,22.235,1
100000,-100000,100000,Knuth,19.741,19.092,19.087,19.306,1
100000,-100000,100000,Sedgewick,16.392,15.889,16.552,16.278,1
1000000,-10,10,Shell,112.520,111.898,110.500,111.639,1
1000000,-10,10,Hibbard,98.470,97.743,96.656,97.623,1
1000000,-10,10,Knuth,88.210,85.984,90.853,88.349,1
1000000,-10,10,Sedgewick,79.760,78.460,77.716,78.645,1
1000000,-1000,1000,Shell,246.404,263.063,246.073,251.847,1
1000000,-1000,1000,Hibbard,232.060,230.138,236.765,232.988,1
1000000,-1000,1000,Knuth,216.302,209.730,211.768,212.600,1
1000000,-1000,1000,Sedgewick,148.664,143.047,143.456,145.056,1
1000000,-100000,100000,Shell,296.093,298.713,301.532,298.779,1
1000000,-100000,100000,Hibbard,302.654,305.297,306.549,304.833,1
1000000,-100000,100000,Knuth,279.986,283.215,286.660,283.287,1
1000000,-100000,100000,Sedgewick,195.346,192.259,203.322,196.976,1
